----------Creating Processes----------
Process: P0 	Size: 31 	Arrival Time: 44 	Run Time: 2 
[0:09.4] Process: P144, Page Referenced: 21, Page-in-memory: 84
[0:09.4] Process: P20, Page Referenced: 5, Page-in-memory: 20, Process Evicted: 50
[0:09.4] Process: P88, Page Referenced: 19, Page-in-memory: 6
[0:09.4] Process: P133, Page Referenced: 0, Page-in-memory: 0
[0:09.4] Process: P7, Page Referenced: 6, Page-in-memory: 21, Process Evicted: 51
[0:09.4] Process: P9, Page Referenced: 25, Page-in-memory: 22, Process Evicted: 50
[0:09.4] Process: P28, Page Referenced: 10, Page-in-memory: 23, Process Evicted: 51
[0:09.4] Process: P59, Page Referenced: 4, Page-in-memory: 24, Process Evicted: 50
[0:09.4] Process: P99, Enter, Size: 17, Service Duration: 4
Memory-map: P99P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P50P50P15P15P34P34P35P15P35P3P121P144P34P121P144P15P34P144P15P34P35P144P15P34P121P144P15P35P121P144P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:09.5] Process: P15, Page Referenced: 6, Page-in-memory: 66
[0:09.5] Process: P35, Page Referenced: 3, Page-in-memory: 31
[0:09.5] Process: P121, Page Referenced: 4, Page-in-memory: 57
[0:09.5] Process: P144, Exit, Size: 31, Service Duration: 3
Memory-map: P99P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P50P50P15P15P34P34P35P15P35P3P121P144P34P121P144P15P34P144P15P34P35P144P15P34P121P144P15P35P121P144P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:09.5] Process: P20, Page Referenced: 5, Page-in-memory: 20
[0:09.5] Process: P88, Page Referenced: 19, Page-in-memory: 6
[0:09.5] Process: P133, Page Referenced: 2, Page-in-memory: 96
[0:09.5] Process: P7, Page Referenced: 8, Page-in-memory: 18
[0:09.5] Process: P9, Page Referenced: 19, Page-in-memory: 25, Process Evicted: 50
[0:09.5] Process: P28, Page Referenced: 9, Page-in-memory: 26, Process Evicted: 50
[0:09.5] Process: P59, Page Referenced: 4, Page-in-memory: 24
[0:09.5] Process: P99, Page Referenced: 7, Page-in-memory: 27, Process Evicted: 15
[0:09.5] Process: P115, Enter, Size: 31, Service Duration: 2
Memory-map: P115P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P15P34P34P35P15P35P3P121P144P34P121P144P15P34P144P15P34P35P144P15P34P121P144P15P35P121P144P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:09.6] Process: P15, Page Referenced: 6, Page-in-memory: 66
[0:09.6] Process: P35, Page Referenced: 4, Page-in-memory: 52
[0:09.6] Process: P121, Page Referenced: 4, Page-in-memory: 57
[0:09.6] Process: P20, Page Referenced: 1, Page-in-memory: 86
[0:09.6] Process: P88, Page Referenced: 14, Page-in-memory: 28, Process Evicted: 15
[0:09.6] Process: P133, Page Referenced: 1, Page-in-memory: 17
[0:09.6] Process: P7, Page Referenced: 7, Page-in-memory: 29, Process Evicted: 34
[0:09.6] Process: P9, Page Referenced: 28, Page-in-memory: 30, Process Evicted: 34
[0:09.6] Process: P28, Page Referenced: 3, Page-in-memory: 31, Process Evicted: 35
[0:09.6] Process: P59, Page Referenced: 4, Page-in-memory: 24
[0:09.6] Process: P99, Page Referenced: 9, Page-in-memory: 32, Process Evicted: 15
[0:09.6] Process: P115, Page Referenced: 8, Page-in-memory: 33, Process Evicted: 35
[0:09.7] Process: P15, Page Referenced: 5, Page-in-memory: 63
[0:09.7] Process: P35, Page Referenced: 5, Page-in-memory: 9
[0:09.7] Process: P121, Page Referenced: 2, Page-in-memory: 77
[0:09.7] Process: P20, Page Referenced: 1, Page-in-memory: 86
[0:09.7] Process: P88, Page Referenced: 7, Page-in-memory: 34, Process Evicted: 3
[0:09.7] Process: P133, Page Referenced: 3, Page-in-memory: 13
[0:09.7] Process: P7, Page Referenced: 7, Page-in-memory: 29
[0:09.7] Process: P9, Page Referenced: 28, Page-in-memory: 30
[0:09.7] Process: P28, Page Referenced: 2, Page-in-memory: 35, Process Evicted: 121
[0:09.7] Process: P59, Page Referenced: 2, Page-in-memory: 36, Process Evicted: 144
[0:09.7] Process: P99, Page Referenced: 8, Page-in-memory: 37, Process Evicted: 34
[0:09.7] Process: P115, Page Referenced: 1, Page-in-memory: 38, Process Evicted: 121
[0:09.8] Process: P15, Page Referenced: 4, Page-in-memory: 47
[0:09.8] Process: P35, Page Referenced: 5, Page-in-memory: 9
[0:09.8] Process: P121, Page Referenced: 8, Page-in-memory: 3
[0:09.8] Process: P20, Page Referenced: 2, Page-in-memory: 93
[0:09.8] Process: P88, Page Referenced: 8, Page-in-memory: 39, Process Evicted: 144
[0:09.8] Process: P133, Page Referenced: 3, Page-in-memory: 13
[0:09.8] Process: P7, Page Referenced: 9, Page-in-memory: 15
[0:09.8] Process: P9, Page Referenced: 27, Page-in-memory: 40, Process Evicted: 15
[0:09.8] Process: P28, Page Referenced: 3, Page-in-memory: 31
[0:09.8] Process: P59, Page Referenced: 3, Page-in-memory: 41, Process Evicted: 34
[0:09.8] Process: P99, Page Referenced: 9, Page-in-memory: 32
[0:09.8] Process: P115, Page Referenced: 1, Page-in-memory: 38
[0:09.9] Process: P15, Page Referenced: 1, Page-in-memory: 27
[0:09.9] Process: P35, Page Referenced: 5, Page-in-memory: 9
[0:09.9] Process: P121, Page Referenced: 9, Page-in-memory: 53
[0:09.9] Process: P20, Page Referenced: 2, Page-in-memory: 93
[0:09.9] Process: P88, Page Referenced: 21, Page-in-memory: 42, Process Evicted: 144
[0:09.9] Process: P133, Page Referenced: 2, Page-in-memory: 96
[0:09.9] Process: P7, Page Referenced: 6, Page-in-memory: 21
[0:09.9] Process: P9, Page Referenced: 27, Page-in-memory: 40
[0:09.9] Process: P28, Page Referenced: 10, Page-in-memory: 23
[0:09.9] Process: P59, Page Referenced: 2, Page-in-memory: 36
[0:09.9] Process: P99, Page Referenced: 10, Page-in-memory: 43, Process Evicted: 15
[0:09.9] Process: P115, Page Referenced: 1, Page-in-memory: 38
[0:010.0] Process: P15, Page Referenced: 16, Page-in-memory: 44, Process Evicted: 34
[0:010.0] Process: P35, Page Referenced: 4, Page-in-memory: 52
[0:010.0] Process: P121, Page Referenced: 6, Page-in-memory: 5
[0:010.0] Process: P20, Page Referenced: 3, Page-in-memory: 99
[0:010.0] Process: P88, Page Referenced: 16, Page-in-memory: 45, Process Evicted: 35
[0:010.0] Process: P133, Page Referenced: 2, Page-in-memory: 96
[0:010.0] Process: P7, Page Referenced: 2, Page-in-memory: 46, Process Evicted: 144
[0:010.0] Process: P9, Page Referenced: 29, Page-in-memory: 47, Process Evicted: 15
[0:010.0] Process: P28, Page Referenced: 9, Page-in-memory: 26
[0:010.0] Process: P59, Page Referenced: 3, Page-in-memory: 41
[0:010.0] Process: P99, Page Referenced: 9, Page-in-memory: 32
[0:010.0] Process: P115, Page Referenced: 2, Page-in-memory: 48, Process Evicted: 34
[0:010.0] Process: P16, Enter, Size: 31, Service Duration: 3
Memory-map: P16P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P121P144P15P35P121P144P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:010.1] Process: P15, Exit, Size: 17, Service Duration: 4
Memory-map: P16P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P121P144P15P35P121P144P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:010.1] Process: P35, Page Referenced: 0, Page-in-memory: 0
[0:010.1] Process: P121, Page Referenced: 6, Page-in-memory: 5
[0:010.1] Process: P20, Page Referenced: 3, Page-in-memory: 99
[0:010.1] Process: P88, Page Referenced: 16, Page-in-memory: 45
[0:010.1] Process: P133, Page Referenced: 3, Page-in-memory: 13
[0:010.1] Process: P7, Exit, Size: 11, Service Duration: 1
Memory-map: P16P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P121P144P15P35P121P144P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:010.1] Process: P9, Page Referenced: 29, Page-in-memory: 47
[0:010.1] Process: P28, Page Referenced: 8, Page-in-memory: 49, Process Evicted: 121
[0:010.1] Process: P59, Page Referenced: 3, Page-in-memory: 41
[0:010.1] Process: P99, Page Referenced: 8, Page-in-memory: 37
[0:010.1] Process: P115, Page Referenced: 3, Page-in-memory: 50, Process Evicted: 144
[0:010.1] Process: P16, Page Referenced: 2, Page-in-memory: 51, Process Evicted: 15
[0:010.1] Process: P36, Enter, Size: 11, Service Duration: 5
Memory-map: P36P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P35P121P144P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:010.2] Process: P35, Page Referenced: 1, Page-in-memory: 45
[0:010.2] Process: P121, Page Referenced: 5, Page-in-memory: 70
[0:010.2] Process: P20, Page Referenced: 0, Page-in-memory: 0
[0:010.2] Process: P88, Page Referenced: 16, Page-in-memory: 45
[0:010.2] Process: P133, Page Referenced: 4, Page-in-memory: 2
[0:010.2] Process: P9, Page Referenced: 14, Page-in-memory: 52, Process Evicted: 35
[0:010.2] Process: P28, Page Referenced: 1, Page-in-memory: 53, Process Evicted: 121
[0:010.2] Process: P59, Page Referenced: 3, Page-in-memory: 41
[0:010.2] Process: P99, Page Referenced: 9, Page-in-memory: 32
[0:010.2] Process: P115, Page Referenced: 3, Page-in-memory: 50
[0:010.2] Process: P16, Page Referenced: 4, Page-in-memory: 54, Process Evicted: 144
[0:010.2] Process: P36, Page Referenced: 0, Page-in-memory: 0
[0:010.2] Process: P79, Enter, Size: 17, Service Duration: 3
Memory-map: P79P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:010.3] Process: P35, Exit, Size: 5, Service Duration: 4
Memory-map: P79P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P144P73P121P144P109P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:010.3] Process: P121, Page Referenced: 1, Page-in-memory: 49
[0:010.3] Process: P20, Page Referenced: 4, Page-in-memory: 16
[0:010.3] Process: P88, Page Referenced: 15, Page-in-memory: 55, Process Evicted: 144
[0:010.3] Process: P133, Page Referenced: 0, Page-in-memory: 0
[0:010.3] Process: P9, Page Referenced: 15, Page-in-memory: 56, Process Evicted: 73
[0:010.3] Process: P28, Page Referenced: 0, Page-in-memory: 0
[0:010.3] Process: P59, Page Referenced: 2, Page-in-memory: 36
[0:010.3] Process: P99, Page Referenced: 10, Page-in-memory: 43
[0:010.3] Process: P115, Page Referenced: 4, Page-in-memory: 57, Process Evicted: 121
[0:010.3] Process: P16, Page Referenced: 2, Page-in-memory: 51
[0:010.3] Process: P36, Page Referenced: 9, Page-in-memory: 58, Process Evicted: 144
[0:010.3] Process: P79, Page Referenced: 13, Page-in-memory: 59, Process Evicted: 109
[0:010.3] Process: P86, Enter, Size: 17, Service Duration: 3
Memory-map: P86P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P88P9P115P36P79P50P121P109P15P73P109P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:010.4] Process: P121, Page Referenced: 7, Page-in-memory: 60, Process Evicted: 50
[0:010.4] Process: P20, Page Referenced: 4, Page-in-memory: 16
[0:010.4] Process: P88, Page Referenced: 16, Page-in-memory: 45
[0:010.4] Process: P133, Page Referenced: 4, Page-in-memory: 2
[0:010.4] Process: P9, Page Referenced: 16, Page-in-memory: 61, Process Evicted: 121
[0:010.4] Process: P28, Page Referenced: 7, Page-in-memory: 62, Process Evicted: 109
[0:010.4] Process: P59, Page Referenced: 0, Page-in-memory: 0
[0:010.4] Process: P99, Page Referenced: 10, Page-in-memory: 43
[0:010.4] Process: P115, Page Referenced: 5, Page-in-memory: 63, Process Evicted: 15
[0:010.4] Process: P16, Page Referenced: 0, Page-in-memory: 0
[0:010.4] Process: P36, Page Referenced: 6, Page-in-memory: 64, Process Evicted: 73
[0:010.4] Process: P79, Page Referenced: 13, Page-in-memory: 59
[0:010.4] Process: P86, Page Referenced: 16, Page-in-memory: 65, Process Evicted: 109
[0:010.4] Process: P92, Enter, Size: 17, Service Duration: 5
Memory-map: P92P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P88P9P115P36P79P121P9P28P115P36P86P15P144P73P109P121P144P109P15P144P109P50P121P144P73P50P73P109P50P144P109P20P144P23P15P23P88P15P20P23P88P133P15P34P20
[0:010.5] Process: P121, Page Referenced: 9, Page-in-memory: 53
[0:010.5] Process: P20, Page Referenced: 2, Page-in-memory: 93
[0:010.5] Process: P88, Page Referenced: 17, Page-in-memory: 66, Process Evicted: 15
[0:010.5] Process: P133, Page Referenced: 0, Page-in-memory: 0
[0:010.5] Process: P9, Page Referenced: 8, Page-in-memory: 67, Process Evicted: 144
[0:010.5] Process: P28, Page Referenced: 7, Page-in-memory: 62
[0:010.5] Process: P59, Page Referenced: 1, Page-in-memory: 68, Process Evicted: 73
[0:010.5] Process: P99, Page Referenced: 10, Page-in-memory: 43
[0:010.5] Process: P115, Page Referenced: 4, Page-in-memory: 57
[0:010.5] Process: P16, Page Referenced: 17, Page-in-memory: 69, Process Evicted: 109
[0:010.5] Process: P36, Page Referenced: 7, Page-in-memory: 70, Process Evicted: 121
[0:010.5] Process: P79, Page Referenced: 13, Page-in-memory: 59
[0:010.5] Process: P86, Page Referenced: 15, Page-in-memory: 71, Process Evicted: 144
[0:010.5] Process: P92, Page Referenced: 4, Page-in-memory: 72, Process Evicted: 109
[0:010.6] Process: P121, Page Referenced: 8, Page-in-memory: 3
[0:010.6] Process: P20, Page Referenced: 1, Page-in-memory: 86
[0:010.6] Process: P88, Page Referenced: 16, Page-in-memory: 45
[0:010.6] Process: P133, Page Referenced: 4, Page-in-memory: 2
[0:010.6] Process: P9, Page Referenced: 8, Page-in-memory: 67
[0:010.6] Process: P28, Page Referenced: 9, Page-in-memory: 26
[0:010.6] Process: P59, Page Referenced: 3, Page-in-memory: 41
[0:010.6] Process: P99, Page Referenced: 10, Page-in-memory: 43
[0:010.6] Process: P115, Page Referenced: 4, Page-in-memory: 57
[0:010.6] Process: P16, Page Referenced: 17, Page-in-memory: 69
[0:010.6] Process: P36, Page Referenced: 7, Page-in-memory: 70
[0:010.6] Process: P79, Page Referenced: 16, Page-in-memory: 73, Process Evicted: 15
[0:010.6] Process: P86, Page Referenced: 16, Page-in-memory: 65
[0:010.6] Process: P92, Page Referenced: 5, Page-in-memory: 74, Process Evicted: 144
[0:010.7] Process: P121, Page Referenced: 6, Page-in-memory: 5
[0:010.7] Process: P20, Page Referenced: 4, Page-in-memory: 16
[0:010.7] Process: P88, Page Referenced: 9, Page-in-memory: 75, Process Evicted: 109
[0:010.7] Process: P133, Page Referenced: 2, Page-in-memory: 96
[0:010.7] Process: P9, Page Referenced: 24, Page-in-memory: 76, Process Evicted: 50
[0:010.7] Process: P28, Page Referenced: 5, Page-in-memory: 77, Process Evicted: 121
[0:010.7] Process: P59, Page Referenced: 2, Page-in-memory: 36
[0:010.7] Process: P99, Page Referenced: 11, Page-in-memory: 78, Process Evicted: 144
[0:010.7] Process: P115, Page Referenced: 1, Page-in-memory: 38
[0:010.7] Process: P16, Page Referenced: 17, Page-in-memory: 69
[0:010.7] Process: P36, Page Referenced: 6, Page-in-memory: 64
[0:010.7] Process: P79, Page Referenced: 16, Page-in-memory: 73
[0:010.7] Process: P86, Page Referenced: 17, Page-in-memory: 79, Process Evicted: 73
[0:010.7] Process: P92, Page Referenced: 1, Page-in-memory: 80, Process Evicted: 50
[0:010.8] Process: P121, Page Referenced: 7, Page-in-memory: 60
[0:010.8] Process: P20, Page Referenced: 4, Page-in-memory: 16
[0:010.8] Process: P88, Page Referenced: 10, Page-in-memory: 81, Process Evicted: 73
[0:010.8] Process: P133, Page Referenced: 1, Page-in-memory: 17
[0:010.8] Process: P9, Page Referenced: 24, Page-in-memory: 76
[0:010.8] Process: P28, Page Referenced: 10, Page-in-memory: 23
[0:010.8] Process: P59, Page Referenced: 4, Page-in-memory: 24
[0:010.8] Process: P99, Page Referenced: 12, Page-in-memory: 82, Process Evicted: 109
[0:010.8] Process: P115, Page Referenced: 0, Page-in-memory: 0
[0:010.8] Process: P16, Page Referenced: 18, Page-in-memory: 83, Process Evicted: 50
[0:010.8] Process: P36, Page Referenced: 2, Page-in-memory: 84, Process Evicted: 144
[0:010.8] Process: P79, Page Referenced: 17, Page-in-memory: 85, Process Evicted: 109
[0:010.8] Process: P86, Page Referenced: 17, Page-in-memory: 79
[0:010.8] Process: P92, Page Referenced: 0, Page-in-memory: 0
[0:010.9] Process: P121, Page Referenced: 10, Page-in-memory: 35
[0:010.9] Process: P20, Page Referenced: 3, Page-in-memory: 99
[0:010.9] Process: P88, Page Referenced: 9, Page-in-memory: 75
[0:010.9] Process: P133, Page Referenced: 1, Page-in-memory: 17
[0:010.9] Process: P9, Page Referenced: 27, Page-in-memory: 40
[0:010.9] Process: P28, Page Referenced: 8, Page-in-memory: 49
[0:010.9] Process: P59, Page Referenced: 5, Page-in-memory: 86, Process Evicted: 20
[0:010.9] Process: P99, Page Referenced: 13, Page-in-memory: 87, Process Evicted: 144
[0:010.9] Process: P115, Page Referenced: 1, Page-in-memory: 38
[0:010.9] Process: P16, Page Referenced: 19, Page-in-memory: 88, Process Evicted: 23
[0:010.9] Process: P36, Page Referenced: 1, Page-in-memory: 89, Process Evicted: 15
[0:010.9] Process: P79, Page Referenced: 6, Page-in-memory: 90, Process Evicted: 23
[0:010.9] Process: P86, Page Referenced: 17, Page-in-memory: 79
[0:010.9] Process: P92, Page Referenced: 2, Page-in-memory: 91, Process Evicted: 88
[0:011.0] Process: P121, Page Referenced: 4, Page-in-memory: 57
[0:011.0] Process: P20, Page Referenced: 3, Page-in-memory: 99
[0:011.0] Process: P88, Page Referenced: 18, Page-in-memory: 8
[0:011.0] Process: P133, Page Referenced: 3, Page-in-memory: 13
[0:011.0] Process: P9, Page Referenced: 29, Page-in-memory: 47
[0:011.0] Process: P28, Page Referenced: 9, Page-in-memory: 26
[0:011.0] Process: P59, Page Referenced: 3, Page-in-memory: 41
[0:011.0] Process: P99, Page Referenced: 12, Page-in-memory: 82
[0:011.0] Process: P115, Page Referenced: 3, Page-in-memory: 50
[0:011.0] Process: P16, Page Referenced: 19, Page-in-memory: 88
[0:011.0] Process: P36, Page Referenced: 1, Page-in-memory: 89
[0:011.0] Process: P79, Page Referenced: 13, Page-in-memory: 59
[0:011.0] Process: P86, Page Referenced: 10, Page-in-memory: 92, Process Evicted: 15
[0:011.0] Process: P92, Page Referenced: 7, Page-in-memory: 93, Process Evicted: 20
[0:011.0] Process: P33, Enter, Size: 31, Service Duration: 5
Memory-map: P33P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P88P9P115P36P79P121P9P28P115P36P86P88P9P59P16P36P86P92P79P92P88P9P28P99P86P92P88P99P16P36P79P59P99P16P36P79P92P86P92P23P88P133P15P34P20
[0:011.1] Process: P121, Page Referenced: 3, Page-in-memory: 61
[0:011.1] Process: P20, Page Referenced: 2, Page-in-memory: 93
[0:011.1] Process: P88, Page Referenced: 16, Page-in-memory: 45
[0:011.1] Process: P133, Page Referenced: 1, Page-in-memory: 17
[0:011.1] Process: P9, Page Referenced: 0, Page-in-memory: 0
[0:011.1] Process: P28, Page Referenced: 2, Page-in-memory: 35
[0:011.1] Process: P59, Page Referenced: 2, Page-in-memory: 36
[0:011.1] Process: P99, Page Referenced: 12, Page-in-memory: 82
[0:011.1] Process: P115, Page Referenced: 3, Page-in-memory: 50
[0:011.1] Process: P16, Page Referenced: 18, Page-in-memory: 83
[0:011.1] Process: P36, Page Referenced: 5, Page-in-memory: 94, Process Evicted: 23
[0:011.1] Process: P79, Page Referenced: 12, Page-in-memory: 95, Process Evicted: 88
[0:011.1] Process: P86, Page Referenced: 16, Page-in-memory: 65
[0:011.1] Process: P92, Page Referenced: 2, Page-in-memory: 91
[0:011.1] Process: P33, Page Referenced: 0, Page-in-memory: 0
[0:011.1] Process: P128, Enter, Size: 17, Service Duration: 2
Memory-map: P128P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P88P9P115P36P79P121P9P28P115P36P86P88P9P59P16P36P86P92P79P92P88P9P28P99P86P92P88P99P16P36P79P59P99P16P36P79P92P86P92P36P79P133P15P34P20
[0:011.2] Process: P121, Page Referenced: 2, Page-in-memory: 77
[0:011.2] Process: P20, Page Referenced: 2, Page-in-memory: 93
[0:011.2] Process: P88, Page Referenced: 17, Page-in-memory: 66
[0:011.2] Process: P133, Page Referenced: 3, Page-in-memory: 13
[0:011.2] Process: P9, Exit, Size: 31, Service Duration: 2
Memory-map: P128P88P133P121P88P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P88P9P115P36P79P121P9P28P115P36P86P88P9P59P16P36P86P92P79P92P88P9P28P99P86P92P88P99P16P36P79P59P99P16P36P79P92P86P92P36P79P133P15P34P20
[0:011.2] Process: P28, Page Referenced: 9, Page-in-memory: 26
[0:011.2] Process: P59, Page Referenced: 4, Page-in-memory: 24
[0:011.2] Process: P99, Page Referenced: 14, Page-in-memory: 96, Process Evicted: 133
[0:011.2] Process: P115, Page Referenced: 1, Page-in-memory: 38
[0:011.2] Process: P16, Page Referenced: 17, Page-in-memory: 69
[0:011.2] Process: P36, Page Referenced: 5, Page-in-memory: 94
[0:011.2] Process: P79, Page Referenced: 13, Page-in-memory: 59
[0:011.2] Process: P86, Page Referenced: 16, Page-in-memory: 65
[0:011.2] Process: P92, Page Referenced: 12, Page-in-memory: 97, Process Evicted: 15
[0:011.2] Process: P33, Page Referenced: 1, Page-in-memory: 98, Process Evicted: 34
[0:011.2] Process: P128, Page Referenced: 1, Page-in-memory: 99, Process Evicted: 20
[0:011.3] Process: P121, Page Referenced: 4, Page-in-memory: 57
[0:011.3] Process: P20, Page Referenced: 2, Page-in-memory: 93
[0:011.3] Process: P88, Page Referenced: 15, Page-in-memory: 55
[0:011.3] Process: P133, Page Referenced: 4, Page-in-memory: 2
[0:011.3] Process: P28, Page Referenced: 10, Page-in-memory: 23
[0:011.3] Process: P59, Page Referenced: 1, Page-in-memory: 68
[0:011.3] Process: P99, Page Referenced: 14, Page-in-memory: 96
[0:011.3] Process: P115, Page Referenced: 2, Page-in-memory: 48
[0:011.3] Process: P16, Page Referenced: 23, Page-in-memory: 1, Process Evicted: 88
[0:011.3] Process: P36, Page Referenced: 4, Page-in-memory: 2, Process Evicted: 133
[0:011.3] Process: P79, Page Referenced: 14, Page-in-memory: 3, Process Evicted: 121
[0:011.3] Process: P86, Page Referenced: 17, Page-in-memory: 79
[0:011.3] Process: P92, Page Referenced: 13, Page-in-memory: 4, Process Evicted: 88
[0:011.3] Process: P33, Page Referenced: 0, Page-in-memory: 0
[0:011.3] Process: P128, Page Referenced: 0, Page-in-memory: 0
[0:011.4] Process: P121, Exit, Size: 11, Service Duration: 5
Memory-map: P128P16P36P79P92P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P88P9P115P36P79P121P9P28P115P36P86P88P9P59P16P36P86P92P79P92P88P9P28P99P86P92P88P99P16P36P79P59P99P16P36P79P92P86P92P36P79P99P92P33P128
[0:011.4] Process: P20, Page Referenced: 3, Page-in-memory: 99
[0:011.4] Process: P88, Page Referenced: 14, Page-in-memory: 28
[0:011.4] Process: P133, Exit, Size: 5, Service Duration: 3
Memory-map: P128P16P36P79P92P121P88P23P88P35P144P23P23P133P7P7P20P133P7P9P20P7P9P28P59P9P28P99P88P7P9P28P99P115P88P28P59P99P115P88P9P59P88P99P15P88P7P9P115P28P115P16P9P28P16P88P9P115P36P79P121P9P28P115P36P86P88P9P59P16P36P86P92P79P92P88P9P28P99P86P92P88P99P16P36P79P59P99P16P36P79P92P86P92P36P79P99P92P33P128
[0:011.4] Process: P28, Page Referenced: 1, Page-in-memory: 53
[0:011.4] Process: P59, Page Referenced: 1, Page-in-memory: 68
[0:011.4] Process: P99, Page Referenced: 4, Page-in-memory: 5, Process Evicted: 121
[0:011.4] Process: P115, Page Referenced: 0, Page-in-memory: 0
[0:011.4] Process: P16, Page Referenced: 24, Page-in-memory: 6, Process Evicted: 88
[0:011.4] Process: P36, Page Referenced: 3, Page-in-memory: 7, Process Evicted: 23
[0:011.4] Process: P79, Page Referenced: 14, Page-in-memory: 3
[0:011.4] Process: P86, Page Referenced: 7, Page-in-memory: 8, Process Evicted: 88
[0:011.4] Process: P92, Page Referenced: 12, Page-in-memory: 97
[0:011.4] Process: P33, Page Referenced: 11, Page-in-memory: 9, Process Evicted: 35
[0:011.4] Process: P128, Page Referenced: 1, Page-in-memory: 99
[0:011.5] Process: P20, Page Referenced: 2, Page-in-memory: 93
[0:011.5] Process: P88, Page Referenced: 22, Page-in-memory: 10, Process Evicted: 144
