----------Creating Processes----------
Process: A 	Size: 17 	Arrival Time: 5 	Run Time: 5 
[0:027.2] Process: Y, Page Referenced: 16, Page-in-memory: 98, Process Evicted: N
[0:027.2] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:027.2] Process: Z, Enter, Size: 5, Service Duration: 1
Memory-map: ZKqwNTTXDqTqN0NTq0wwspKslpsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpY4
[0:027.3] Process: B, Page Referenced: 1, Page-in-memory: 79
[0:027.3] Process: D, Page Referenced: 16, Page-in-memory: 83
[0:027.3] Process: p, Page Referenced: 4, Page-in-memory: 87
[0:027.3] Process: Y, Page Referenced: 1, Page-in-memory: 99, Process Evicted: 4
[0:027.3] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:027.3] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:027.4] Process: B, Page Referenced: 12, Page-in-memory: 1, Process Evicted: K
[0:027.4] Process: D, Page Referenced: 0, Page-in-memory: 0
[0:027.4] Process: p, Page Referenced: 0, Page-in-memory: 0
[0:027.4] Process: Y, Page Referenced: 4, Page-in-memory: 2, Process Evicted: q
[0:027.4] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:027.4] Process: Z, Page Referenced: 1, Page-in-memory: 3, Process Evicted: w
[0:027.5] Process: B, Page Referenced: 16, Page-in-memory: 77
[0:027.5] Process: D, Page Referenced: 0, Page-in-memory: 0
[0:027.5] Process: p, Page Referenced: 0, Page-in-memory: 0
[0:027.5] Process: Y, Page Referenced: 1, Page-in-memory: 99
[0:027.5] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:027.5] Process: Z, Page Referenced: 1, Page-in-memory: 3
[0:027.6] Process: B, Page Referenced: 16, Page-in-memory: 77
[0:027.6] Process: D, Page Referenced: 1, Page-in-memory: 82
[0:027.6] Process: p, Page Referenced: 1, Page-in-memory: 97
[0:027.6] Process: Y, Page Referenced: 1, Page-in-memory: 99
[0:027.6] Process: I, Page Referenced: 30, Page-in-memory: 4, Process Evicted: N
[0:027.6] Process: Z, Page Referenced: 1, Page-in-memory: 3
[0:027.7] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:027.7] Process: D, Page Referenced: 16, Page-in-memory: 83
[0:027.7] Process: p, Page Referenced: 1, Page-in-memory: 97
[0:027.7] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:027.7] Process: I, Page Referenced: 16, Page-in-memory: 5, Process Evicted: T
[0:027.7] Process: Z, Page Referenced: 1, Page-in-memory: 3
[0:027.8] Process: B, Page Referenced: 6, Page-in-memory: 6, Process Evicted: T
[0:027.8] Process: D, Page Referenced: 1, Page-in-memory: 82
[0:027.8] Process: p, Page Referenced: 4, Page-in-memory: 87
[0:027.8] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:027.8] Process: I, Page Referenced: 8, Page-in-memory: 7, Process Evicted: X
[0:027.8] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:027.9] Process: B, Page Referenced: 1, Page-in-memory: 79
[0:027.9] Process: D, Page Referenced: 0, Page-in-memory: 0
[0:027.9] Process: p, Page Referenced: 2, Page-in-memory: 92
[0:027.9] Process: Y, Page Referenced: 1, Page-in-memory: 99
[0:027.9] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:027.9] Process: Z, Page Referenced: 4, Page-in-memory: 8, Process Evicted: D
[0:028.0] Process: B, Page Referenced: 16, Page-in-memory: 77
[0:028.0] Process: D, Page Referenced: 0, Page-in-memory: 0
[0:028.0] Process: p, Page Referenced: 0, Page-in-memory: 0
[0:028.0] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:028.0] Process: I, Page Referenced: 6, Page-in-memory: 9, Process Evicted: q
[0:028.0] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:028.0] Process: x, Enter, Size: 11, Service Duration: 1
Memory-map: xBYZIIBIZITqN0NTq0wwspKslpsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:028.1] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:028.1] Process: D, Page Referenced: 16, Page-in-memory: 83
[0:028.1] Process: p, Page Referenced: 4, Page-in-memory: 87
[0:028.1] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:028.1] Process: I, Page Referenced: 1, Page-in-memory: 10, Process Evicted: T
[0:028.1] Process: Z, Page Referenced: 4, Page-in-memory: 8
[0:028.1] Process: x, Page Referenced: 10, Page-in-memory: 11, Process Evicted: q
[0:028.1] Process: F, Enter, Size: 11, Service Duration: 4
Memory-map: FBYZIIBIZIIxN0NTq0wwspKslpsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:028.2] Process: B, Page Referenced: 16, Page-in-memory: 77
[0:028.2] Process: D, Page Referenced: 16, Page-in-memory: 83
[0:028.2] Process: p, Page Referenced: 4, Page-in-memory: 87
[0:028.2] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:028.2] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:028.2] Process: Z, Page Referenced: 4, Page-in-memory: 8
[0:028.2] Process: x, Page Referenced: 0, Page-in-memory: 0
[0:028.2] Process: F, Page Referenced: 1, Page-in-memory: 12, Process Evicted: N
[0:028.2] Process: H, Enter, Size: 5, Service Duration: 2
Memory-map: HBYZIIBIZIIxF0NTq0wwspKslpsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:028.3] Process: B, Page Referenced: 1, Page-in-memory: 79
[0:028.3] Process: D, Page Referenced: 2, Page-in-memory: 90
[0:028.3] Process: p, Page Referenced: 1, Page-in-memory: 97
[0:028.3] Process: Y, Page Referenced: 16, Page-in-memory: 98
[0:028.3] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:028.3] Process: Z, Exit, Size: 5, Service Duration: 1
Memory-map: HBYZIIBIZIIxF0NTq0wwspKslpsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:028.3] Process: x, Page Referenced: 1, Page-in-memory: 13, Process Evicted: 0
[0:028.3] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:028.3] Process: H, Page Referenced: 4, Page-in-memory: 14, Process Evicted: N
[0:028.4] Process: B, Page Referenced: 14, Page-in-memory: 91
[0:028.4] Process: D, Page Referenced: 0, Page-in-memory: 0
[0:028.4] Process: p, Page Referenced: 1, Page-in-memory: 97
[0:028.4] Process: Y, Page Referenced: 16, Page-in-memory: 98
[0:028.4] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:028.4] Process: x, Page Referenced: 0, Page-in-memory: 0
[0:028.4] Process: F, Page Referenced: 4, Page-in-memory: 15, Process Evicted: T
[0:028.4] Process: H, Page Referenced: 4, Page-in-memory: 14
[0:028.5] Process: B, Page Referenced: 16, Page-in-memory: 77
[0:028.5] Process: D, Page Referenced: 0, Page-in-memory: 0
[0:028.5] Process: p, Page Referenced: 0, Page-in-memory: 0
[0:028.5] Process: Y, Page Referenced: 16, Page-in-memory: 98
[0:028.5] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:028.5] Process: x, Page Referenced: 0, Page-in-memory: 0
[0:028.5] Process: F, Page Referenced: 1, Page-in-memory: 12
[0:028.5] Process: H, Page Referenced: 3, Page-in-memory: 16, Process Evicted: q
[0:028.6] Process: B, Page Referenced: 1, Page-in-memory: 79
[0:028.6] Process: D, Page Referenced: 4, Page-in-memory: 17, Process Evicted: 0
[0:028.6] Process: p, Page Referenced: 2, Page-in-memory: 92
[0:028.6] Process: Y, Page Referenced: 11, Page-in-memory: 18, Process Evicted: w
[0:028.6] Process: I, Page Referenced: 17, Page-in-memory: 19, Process Evicted: w
[0:028.6] Process: x, Page Referenced: 1, Page-in-memory: 13
[0:028.6] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:028.6] Process: H, Page Referenced: 4, Page-in-memory: 14
[0:028.7] Process: B, Page Referenced: 2, Page-in-memory: 20, Process Evicted: s
[0:028.7] Process: D, Page Referenced: 0, Page-in-memory: 0
[0:028.7] Process: p, Page Referenced: 0, Page-in-memory: 0
[0:028.7] Process: Y, Page Referenced: 1, Page-in-memory: 99
[0:028.7] Process: I, Page Referenced: 30, Page-in-memory: 4
[0:028.7] Process: x, Page Referenced: 10, Page-in-memory: 11
[0:028.7] Process: F, Page Referenced: 5, Page-in-memory: 21, Process Evicted: p
[0:028.7] Process: H, Page Referenced: 4, Page-in-memory: 14
[0:028.8] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:028.8] Process: D, Page Referenced: 10, Page-in-memory: 22, Process Evicted: K
[0:028.8] Process: p, Page Referenced: 0, Page-in-memory: 0
[0:028.8] Process: Y, Page Referenced: 1, Page-in-memory: 99
[0:028.8] Process: I, Page Referenced: 0, Page-in-memory: 0
[0:028.8] Process: x, Page Referenced: 1, Page-in-memory: 13
[0:028.8] Process: F, Page Referenced: 10, Page-in-memory: 23, Process Evicted: s
[0:028.8] Process: H, Page Referenced: 0, Page-in-memory: 0
[0:028.9] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:028.9] Process: D, Page Referenced: 13, Page-in-memory: 24, Process Evicted: l
[0:028.9] Process: p, Page Referenced: 4, Page-in-memory: 87
[0:028.9] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:028.9] Process: I, Page Referenced: 30, Page-in-memory: 4
[0:028.9] Process: x, Page Referenced: 1, Page-in-memory: 13
[0:028.9] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:028.9] Process: H, Page Referenced: 0, Page-in-memory: 0
[0:029.0] Process: B, Page Referenced: 0, Page-in-memory: 0
[0:029.0] Process: D, Page Referenced: 7, Page-in-memory: 84
[0:029.0] Process: p, Page Referenced: 1, Page-in-memory: 97
[0:029.0] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:029.0] Process: I, Page Referenced: 1, Page-in-memory: 10
[0:029.0] Process: x, Page Referenced: 1, Page-in-memory: 13
[0:029.0] Process: F, Page Referenced: 1, Page-in-memory: 12
[0:029.0] Process: H, Page Referenced: 0, Page-in-memory: 0
[0:029.0] Process: U, Enter, Size: 5, Service Duration: 1
Memory-map: UBYZIIBIZIIxFxHFHDYIBFDFDpsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:029.1] Process: B, Exit, Size: 17, Service Duration: 4
Memory-map: UBYZIIBIZIIxFxHFHDYIBFDFDpsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:029.1] Process: D, Page Referenced: 16, Page-in-memory: 83
[0:029.1] Process: p, Exit, Size: 5, Service Duration: 3
Memory-map: UBYZIIBIZIIxFxHFHDYIBFDFDpsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:029.1] Process: Y, Page Referenced: 1, Page-in-memory: 99
[0:029.1] Process: I, Page Referenced: 23, Page-in-memory: 25, Process Evicted: p
[0:029.1] Process: x, Exit, Size: 11, Service Duration: 1
Memory-map: UBYZIIBIZIIxFxHFHDYIBFDFDIsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:029.1] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:029.1] Process: H, Page Referenced: 0, Page-in-memory: 0
[0:029.1] Process: U, Page Referenced: 0, Page-in-memory: 0
[0:029.1] Process: M, Enter, Size: 5, Service Duration: 3
Memory-map: MBYZIIBIZIIxFxHFHDYIBFDFDIsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:029.2] Process: D, Exit, Size: 17, Service Duration: 4
Memory-map: MBYZIIBIZIIxFxHFHDYIBFDFDIsl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:029.2] Process: Y, Page Referenced: 8, Page-in-memory: 26, Process Evicted: s
[0:029.2] Process: I, Exit, Size: 31, Service Duration: 2
Memory-map: MBYZIIBIZIIxFxHFHDYIBFDFDIYl6RqRKsR6RsR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:029.2] Process: F, Page Referenced: 7, Page-in-memory: 27, Process Evicted: l
[0:029.2] Process: H, Page Referenced: 1, Page-in-memory: 28, Process Evicted: 6
[0:029.2] Process: U, Page Referenced: 4, Page-in-memory: 29, Process Evicted: R
[0:029.2] Process: M, Page Referenced: 1, Page-in-memory: 30, Process Evicted: q
[0:029.3] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:029.3] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:029.3] Process: H, Page Referenced: 4, Page-in-memory: 14
[0:029.3] Process: U, Page Referenced: 4, Page-in-memory: 29
[0:029.3] Process: M, Page Referenced: 1, Page-in-memory: 30
[0:029.4] Process: Y, Page Referenced: 16, Page-in-memory: 98
[0:029.4] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:029.4] Process: H, Page Referenced: 4, Page-in-memory: 14
[0:029.4] Process: U, Page Referenced: 4, Page-in-memory: 29
[0:029.4] Process: M, Page Referenced: 2, Page-in-memory: 31, Process Evicted: R
[0:029.5] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:029.5] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:029.5] Process: H, Page Referenced: 4, Page-in-memory: 14
[0:029.5] Process: U, Page Referenced: 0, Page-in-memory: 0
[0:029.5] Process: M, Page Referenced: 4, Page-in-memory: 32, Process Evicted: K
[0:029.6] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:029.6] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:029.6] Process: H, Page Referenced: 2, Page-in-memory: 33, Process Evicted: s
[0:029.6] Process: U, Page Referenced: 3, Page-in-memory: 34, Process Evicted: R
[0:029.6] Process: M, Page Referenced: 0, Page-in-memory: 0
[0:029.7] Process: Y, Page Referenced: 1, Page-in-memory: 99
[0:029.7] Process: F, Page Referenced: 10, Page-in-memory: 23
[0:029.7] Process: H, Page Referenced: 0, Page-in-memory: 0
[0:029.7] Process: U, Page Referenced: 1, Page-in-memory: 35, Process Evicted: 6
[0:029.7] Process: M, Page Referenced: 3, Page-in-memory: 36, Process Evicted: R
[0:029.8] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:029.8] Process: F, Page Referenced: 10, Page-in-memory: 23
[0:029.8] Process: H, Page Referenced: 4, Page-in-memory: 14
[0:029.8] Process: U, Page Referenced: 1, Page-in-memory: 35
[0:029.8] Process: M, Page Referenced: 1, Page-in-memory: 30
[0:029.9] Process: Y, Page Referenced: 1, Page-in-memory: 99
[0:029.9] Process: F, Page Referenced: 10, Page-in-memory: 23
[0:029.9] Process: H, Page Referenced: 0, Page-in-memory: 0
[0:029.9] Process: U, Page Referenced: 4, Page-in-memory: 29
[0:029.9] Process: M, Page Referenced: 0, Page-in-memory: 0
[0:030.0] Process: Y, Page Referenced: 0, Page-in-memory: 0
[0:030.0] Process: F, Page Referenced: 6, Page-in-memory: 37, Process Evicted: s
[0:030.0] Process: H, Page Referenced: 1, Page-in-memory: 28
[0:030.0] Process: U, Page Referenced: 4, Page-in-memory: 29
[0:030.0] Process: M, Page Referenced: 4, Page-in-memory: 32
[0:030.0] Process: g, Enter, Size: 11, Service Duration: 4
Memory-map: gBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:030.1] Process: Y, Exit, Size: 17, Service Duration: 3
Memory-map: gBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:030.1] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:030.1] Process: H, Page Referenced: 4, Page-in-memory: 14
[0:030.1] Process: U, Exit, Size: 5, Service Duration: 1
Memory-map: gBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:030.1] Process: M, Page Referenced: 0, Page-in-memory: 0
[0:030.1] Process: g, Page Referenced: 0, Page-in-memory: 0
[0:030.1] Process: r, Enter, Size: 5, Service Duration: 4
Memory-map: rBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFR4Rq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:030.2] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:030.2] Process: H, Page Referenced: 0, Page-in-memory: 0
[0:030.2] Process: M, Page Referenced: 1, Page-in-memory: 30
[0:030.2] Process: g, Page Referenced: 1, Page-in-memory: 38, Process Evicted: R
[0:030.2] Process: r, Page Referenced: 4, Page-in-memory: 39, Process Evicted: 4
[0:030.2] Process: h, Enter, Size: 5, Service Duration: 1
Memory-map: hBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFgrRq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:030.3] Process: F, Page Referenced: 1, Page-in-memory: 12
[0:030.3] Process: H, Exit, Size: 5, Service Duration: 2
Memory-map: hBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFgrRq66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:030.3] Process: M, Page Referenced: 1, Page-in-memory: 30
[0:030.3] Process: g, Page Referenced: 10, Page-in-memory: 40, Process Evicted: R
[0:030.3] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:030.3] Process: h, Page Referenced: 4, Page-in-memory: 41, Process Evicted: q
[0:030.3] Process: W, Enter, Size: 31, Service Duration: 1
Memory-map: WBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFgrgh66RsRqR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:030.4] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:030.4] Process: M, Page Referenced: 0, Page-in-memory: 0
[0:030.4] Process: g, Page Referenced: 0, Page-in-memory: 0
[0:030.4] Process: r, Page Referenced: 4, Page-in-memory: 39
[0:030.4] Process: h, Page Referenced: 1, Page-in-memory: 42, Process Evicted: 6
[0:030.4] Process: W, Page Referenced: 0, Page-in-memory: 0
[0:030.5] Process: F, Page Referenced: 1, Page-in-memory: 12
[0:030.5] Process: M, Page Referenced: 3, Page-in-memory: 36
[0:030.5] Process: g, Page Referenced: 10, Page-in-memory: 40
[0:030.5] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:030.5] Process: h, Page Referenced: 4, Page-in-memory: 41
[0:030.5] Process: W, Page Referenced: 1, Page-in-memory: 43, Process Evicted: 6
[0:030.6] Process: F, Page Referenced: 2, Page-in-memory: 44, Process Evicted: R
[0:030.6] Process: M, Page Referenced: 0, Page-in-memory: 0
[0:030.6] Process: g, Page Referenced: 0, Page-in-memory: 0
[0:030.6] Process: r, Page Referenced: 4, Page-in-memory: 39
[0:030.6] Process: h, Page Referenced: 4, Page-in-memory: 41
[0:030.6] Process: W, Page Referenced: 0, Page-in-memory: 0
[0:030.7] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:030.7] Process: M, Page Referenced: 3, Page-in-memory: 36
[0:030.7] Process: g, Page Referenced: 5, Page-in-memory: 45, Process Evicted: s
[0:030.7] Process: r, Page Referenced: 1, Page-in-memory: 46, Process Evicted: R
[0:030.7] Process: h, Page Referenced: 0, Page-in-memory: 0
[0:030.7] Process: W, Page Referenced: 1, Page-in-memory: 43
[0:030.8] Process: F, Page Referenced: 2, Page-in-memory: 44
[0:030.8] Process: M, Page Referenced: 3, Page-in-memory: 36
[0:030.8] Process: g, Page Referenced: 10, Page-in-memory: 40
[0:030.8] Process: r, Page Referenced: 1, Page-in-memory: 46
[0:030.8] Process: h, Page Referenced: 1, Page-in-memory: 42
[0:030.8] Process: W, Page Referenced: 30, Page-in-memory: 47, Process Evicted: q
[0:030.9] Process: F, Page Referenced: 10, Page-in-memory: 23
[0:030.9] Process: M, Page Referenced: 4, Page-in-memory: 32
[0:030.9] Process: g, Page Referenced: 10, Page-in-memory: 40
[0:030.9] Process: r, Page Referenced: 4, Page-in-memory: 39
[0:030.9] Process: h, Page Referenced: 0, Page-in-memory: 0
[0:030.9] Process: W, Page Referenced: 0, Page-in-memory: 0
[0:031.0] Process: F, Page Referenced: 1, Page-in-memory: 12
[0:031.0] Process: M, Page Referenced: 0, Page-in-memory: 0
[0:031.0] Process: g, Page Referenced: 10, Page-in-memory: 40
[0:031.0] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:031.0] Process: h, Page Referenced: 0, Page-in-memory: 0
[0:031.0] Process: W, Page Referenced: 1, Page-in-memory: 43
[0:031.0] Process: O, Enter, Size: 5, Service Duration: 3
Memory-map: OBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFgrghhWFgrWR6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:031.1] Process: F, Page Referenced: 7, Page-in-memory: 27
[0:031.1] Process: M, Page Referenced: 4, Page-in-memory: 32
[0:031.1] Process: g, Page Referenced: 1, Page-in-memory: 38
[0:031.1] Process: r, Page Referenced: 1, Page-in-memory: 46
[0:031.1] Process: h, Page Referenced: 1, Page-in-memory: 42
[0:031.1] Process: W, Page Referenced: 12, Page-in-memory: 48, Process Evicted: R
[0:031.1] Process: O, Page Referenced: 0, Page-in-memory: 0
[0:031.1] Process: Z, Enter, Size: 5, Service Duration: 3
Memory-map: ZBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFgrghhWFgrWW6REEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:031.2] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:031.2] Process: M, Page Referenced: 0, Page-in-memory: 0
[0:031.2] Process: g, Page Referenced: 5, Page-in-memory: 45
[0:031.2] Process: r, Page Referenced: 2, Page-in-memory: 49, Process Evicted: 6
[0:031.2] Process: h, Page Referenced: 1, Page-in-memory: 42
[0:031.2] Process: W, Page Referenced: 1, Page-in-memory: 43
[0:031.2] Process: O, Page Referenced: 0, Page-in-memory: 0
[0:031.2] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:031.3] Process: F, Page Referenced: 6, Page-in-memory: 37
[0:031.3] Process: M, Page Referenced: 0, Page-in-memory: 0
[0:031.3] Process: g, Page Referenced: 10, Page-in-memory: 40
[0:031.3] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:031.3] Process: h, Exit, Size: 5, Service Duration: 1
Memory-map: ZBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFgrghhWFgrWWrREEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:031.3] Process: W, Page Referenced: 0, Page-in-memory: 0
[0:031.3] Process: O, Page Referenced: 0, Page-in-memory: 0
[0:031.3] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:031.4] Process: F, Page Referenced: 1, Page-in-memory: 12
[0:031.4] Process: M, Page Referenced: 4, Page-in-memory: 32
[0:031.4] Process: g, Page Referenced: 9, Page-in-memory: 50, Process Evicted: R
[0:031.4] Process: r, Page Referenced: 2, Page-in-memory: 49
[0:031.4] Process: W, Exit, Size: 31, Service Duration: 1
Memory-map: ZBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFgrghhWFgrWWrgEEEE6E6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:031.4] Process: O, Page Referenced: 0, Page-in-memory: 0
[0:031.4] Process: Z, Page Referenced: 3, Page-in-memory: 51, Process Evicted: E
[0:031.5] Process: F, Page Referenced: 10, Page-in-memory: 23
[0:031.5] Process: M, Page Referenced: 1, Page-in-memory: 30
[0:031.5] Process: g, Page Referenced: 1, Page-in-memory: 38
[0:031.5] Process: r, Page Referenced: 1, Page-in-memory: 46
[0:031.5] Process: O, Page Referenced: 1, Page-in-memory: 52, Process Evicted: E
[0:031.5] Process: Z, Page Referenced: 4, Page-in-memory: 53, Process Evicted: E
[0:031.6] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:031.6] Process: M, Page Referenced: 4, Page-in-memory: 32
[0:031.6] Process: g, Page Referenced: 2, Page-in-memory: 54, Process Evicted: E
[0:031.6] Process: r, Page Referenced: 4, Page-in-memory: 39
[0:031.6] Process: O, Page Referenced: 4, Page-in-memory: 55, Process Evicted: 6
[0:031.6] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:031.7] Process: F, Page Referenced: 0, Page-in-memory: 0
[0:031.7] Process: M, Page Referenced: 1, Page-in-memory: 30
[0:031.7] Process: g, Page Referenced: 0, Page-in-memory: 0
[0:031.7] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:031.7] Process: O, Page Referenced: 0, Page-in-memory: 0
[0:031.7] Process: Z, Page Referenced: 4, Page-in-memory: 53
[0:031.8] Process: F, Page Referenced: 10, Page-in-memory: 23
[0:031.8] Process: M, Page Referenced: 4, Page-in-memory: 32
[0:031.8] Process: g, Page Referenced: 0, Page-in-memory: 0
[0:031.8] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:031.8] Process: O, Page Referenced: 4, Page-in-memory: 55
[0:031.8] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:031.9] Process: F, Page Referenced: 10, Page-in-memory: 23
[0:031.9] Process: M, Page Referenced: 2, Page-in-memory: 31
[0:031.9] Process: g, Page Referenced: 10, Page-in-memory: 40
[0:031.9] Process: r, Page Referenced: 1, Page-in-memory: 46
[0:031.9] Process: O, Page Referenced: 0, Page-in-memory: 0
[0:031.9] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:032.0] Process: F, Page Referenced: 10, Page-in-memory: 23
[0:032.0] Process: M, Page Referenced: 4, Page-in-memory: 32
[0:032.0] Process: g, Page Referenced: 10, Page-in-memory: 40
[0:032.0] Process: r, Page Referenced: 0, Page-in-memory: 0
[0:032.0] Process: O, Page Referenced: 4, Page-in-memory: 55
[0:032.0] Process: Z, Page Referenced: 0, Page-in-memory: 0
[0:032.0] Process: J, Enter, Size: 17, Service Duration: 3
Memory-map: JBYZIIBIZIIxFxHFHDYIBFDFDIYFHUMMMHUUMFgrghhWFgrWWrgZOZgOE6ElEKR6SE6ESaSaE66aSBaBDaDDDBDpDBDBpDpDYpYY
[0:032.1] Process: F, Page Referenced: 6, Page-in-memory: 37
[0:032.1] Process: M, Page Referenced: 4, Page-in-memory: 32
[0:032.1] Process: g, Page Referenced: 10, Page-in-memory: 40
[0:032.1] Process: r, Page Referenced: 1, Page-in-memory: 46
[0:032.1] Process: O, Page Referenced: 3, Page-in-memory: 56, Process Evicted: E
[0:032.1] Process: Z, Page Referenced: 2, Page-in-memory: 57, Process Evicted: 6
